strain	virus	accession	date	region	country	division	db	autores	segment
GLT1	Hepatitis C	OM222702.1	2014	Europe	Germany	Germany	GenBank	Lohmann,V.	genome
GLT1cc	Hepatitis C	OM222703.1	2021	Europe	Germany	Germany	GenBank	Lohmann,V.	genome
TPF1.1	Hepatitis C	LC011927.1	2003	Asia	Japan	Japan	GenBank	Maruyamadai, Wako, Saitama 	genome
TPF1.2	Hepatitis C	LC011928.1	2007	Asia	Japan	Japan	GenBank	Maruyamadai, Wako, Saitama 	genome
TPF1.3	Hepatitis C	LC011929.1	2012	Asia	Japan	Japan	GenBank	Maruyamadai, Wako, Saitama 	genome
sAH	Hepatitis C	LC011930.1	2004	Asia	Japan	Japan	GenBank	Mori,K., Matsumoto,A., Maki,N., Ichikawa,Y., Tanaka,E. and Yagi,S.	genome
sAH.1	Hepatitis C	LC011931.1	2007	Asia	Japan	Japan	GenBank	Mori,K., Matsumoto,A., Maki,N., Ichikawa,Y., Tanaka,E. and Yagi,S.	genome
Pt1-98_R	Hepatitis C	AB828699.1	1998	Asia	Japan	Japan	GenBank	Ando,T., Aizaki,H., Sugiyama,M., Hayashi,K., Ishigami,M.,  Katano,Y., Goto,H., Mizokami,M., Kuroda,M. and Wakita,T	genome
Pt1-98_Q1	Hepatitis C	AB828700.1	1998	Asia	Japan	Japan	GenBank	Ando,T., Aizaki,H., Sugiyama,M., Hayashi,K., Ishigami,M., Katano,Y., Goto,H., Mizokami,M., Kuroda,M. and Wakita,T	genome
Pt1-98_Q2	Hepatitis C	AB828701.1	1998	Asia	Japan	Japan	GenBank	Ando,T., Aizaki,H., Sugiyama,M., Hayashi,K., Ishigami,M., Katano,Y., Goto,H., Mizokami,M., Kuroda,M. and Wakita,T	genome
HCV-1b/CH/BID-V304/2004	Hepatitis C	EU862837.1	2004	Europe	Switzerland	Switzerland	GenBank	Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D.,Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D.,Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L.,Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M.,Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C.,Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M.,Gnerre,S., Grabherr,M., Mauceli,E., Bihl,F., Brander,C., Cerny,A.,Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.	genome
Whu	Hepatitis C	EU857431.1	2001	Asia	China	China	GenBank	Guo,J., Yan,R., Xu,G., Li,W. and Zheng,C.	genome
HCV-1b/CH/BID-V279/2004	Hepatitis C	EU256075.1	2004	Europe	Switzerland	Switzerland	GenBank	"Kuntzen,T., Timm,J., Berical,A., Lennon,N., Berlin,A.M.,
            Young,S.K., Lee,B., Heckerman,D., Carlson,J., Reyor,L.L.,
            Kleyman,M., McMahon,C.M., Birch,C., Schulze Zur Wiesch,J.,
            Ledlie,T., Koehrsen,M., Kodira,C., Roberts,A.D., Lauer,G.M.,
            Rosen,H.R., Bihl,F., Cerny,A., Spengler,U., Liu,Z., Kim,A.Y.,
            Xing,Y., Schneidewind,A., Madey,M.A., Fleckenstein,J.F., Park,V.M.,
            Galagan,J.E., Nusbaum,C., Walker,B.D., Lake-Bakaar,G.V., Daar,E.S.,
            Jacobson,I.M., Gomperts,E.D., Edlin,B.R., Donfield,S.M.,
            Chung,R.T., Talal,A.H., Marion,T., Birren,B.W., Henn,M.R. and
            Allen,T.M."	genome
HCV-1b/CH/BID-V280/2004	Hepatitis C	EU256076.1	2004	Europe	Switzerland	Switzerland	GenBank	"Kuntzen,T., Timm,J., Berical,A., Lennon,N., Berlin,A.M.,
            Young,S.K., Lee,B., Heckerman,D., Carlson,J., Reyor,L.L.,
            Kleyman,M., McMahon,C.M., Birch,C., Schulze Zur Wiesch,J.,
            Ledlie,T., Koehrsen,M., Kodira,C., Roberts,A.D., Lauer,G.M.,
            Rosen,H.R., Bihl,F., Cerny,A., Spengler,U., Liu,Z., Kim,A.Y.,
            Xing,Y., Schneidewind,A., Madey,M.A., Fleckenstein,J.F., Park,V.M.,
            Galagan,J.E., Nusbaum,C., Walker,B.D., Lake-Bakaar,G.V., Daar,E.S.,
            Jacobson,I.M., Gomperts,E.D., Edlin,B.R., Donfield,S.M.,
            Chung,R.T., Talal,A.H., Marion,T., Birren,B.W., Henn,M.R. and
            Allen,T.M.Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D.,
            Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D.,
            Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L.,
            Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M.,
            Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C.,
            Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M.,
            Gnerre,S., Grabherr,M., Mauceli,E., Bihl,F., Brander,C., Cerny,A.,
            Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and
            Birren,B."	genome
HCV-1b/CH/BID-V283/2005	Hepatitis C	EU256077.1	2005	Europe	Switzerland	Switzerland	GenBank	" Kuntzen,T., Timm,J., Berical,A., Lennon,N., Berlin,A.M.,
            Young,S.K., Lee,B., Heckerman,D., Carlson,J., Reyor,L.L.,
            Kleyman,M., McMahon,C.M., Birch,C., Schulze Zur Wiesch,J.,
            Ledlie,T., Koehrsen,M., Kodira,C., Roberts,A.D., Lauer,G.M.,
            Rosen,H.R., Bihl,F., Cerny,A., Spengler,U., Liu,Z., Kim,A.Y.,
            Xing,Y., Schneidewind,A., Madey,M.A., Fleckenstein,J.F., Park,V.M.,
            Galagan,J.E., Nusbaum,C., Walker,B.D., Lake-Bakaar,G.V., Daar,E.S.,
            Jacobson,I.M., Gomperts,E.D., Edlin,B.R., Donfield,S.M.,
            Chung,R.T., Talal,A.H., Marion,T., Birren,B.W., Henn,M.R. and
            Allen,T.M. Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D.,
            Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D.,
            Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L.,
            Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M.,
            Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C.,
            Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M.,
            Gnerre,S., Grabherr,M., Mauceli,E., Bihl,F., Brander,C., Cerny,A.,
            Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and
            Birren,B."	genome
